Channel,fmin,fmax,tbeg,tend,noiselevel
44,25.00,50.00,0.012000,0.196000,0.00002503
45,25.00,50.00,0.012000,0.190000,0.00002368
46,25.00,50.00,0.012000,0.310000,0.00000755
47,25.00,50.00,0.012000,0.256000,0.00001458
48,25.00,50.00,0.012000,0.382000,0.00003185
49,25.00,50.00,0.012000,0.402000,0.00003931
50,25.00,50.00,0.012000,0.484000,0.00007701
51,25.00,50.00,0.012000,0.604000,0.00005981
52,25.00,50.00,0.012000,0.420000,0.00001627
53,25.00,50.00,0.012000,0.322000,0.00001028
54,25.00,50.00,0.012000,0.418000,0.00000735
55,25.00,50.00,0.012000,0.218000,0.00000843
56,25.00,50.00,0.012000,0.390000,0.00001525
57,25.00,50.00,0.012000,0.388000,0.00001084
58,25.00,50.00,0.012000,0.324000,0.00000912
59,25.00,50.00,0.012000,0.388000,0.00000710
60,25.00,50.00,0.012000,0.336000,0.00001493
61,25.00,50.00,0.012000,0.340000,0.00001973
62,25.00,50.00,0.012000,0.322000,0.00048917
63,25.00,50.00,0.012000,0.362000,0.01183607
64,25.00,50.00,0.012000,0.372000,0.01101396
65,25.00,50.00,0.012000,0.360000,0.00831140
66,25.00,50.00,0.012000,0.280000,0.00002491
67,25.00,50.00,0.012000,0.244000,0.00001020
68,25.00,50.00,0.012000,0.296000,0.00001079
69,25.00,50.00,0.012000,0.296000,0.00001115
70,25.00,50.00,0.012000,0.386000,0.00000681
71,25.00,50.00,0.012000,0.436000,0.00001078
72,25.00,50.00,0.012000,0.486000,0.00002213
73,25.00,50.00,0.012000,0.562000,0.00016423
74,25.00,50.00,0.012000,0.708000,0.00013302
75,25.00,50.00,0.012000,0.578000,0.00011770
76,25.00,50.00,0.012000,0.240000,0.00005864
77,25.00,50.00,0.012000,0.234000,0.00015568
78,25.00,50.00,0.012000,0.240000,0.00015034
79,25.00,50.00,0.012000,0.588000,0.00007114
80,25.00,50.00,0.012000,0.274000,0.00000780
81,25.00,50.00,0.012000,0.350000,0.00000977
82,25.00,50.00,0.012000,0.260000,0.00001881
83,25.00,50.00,0.012000,0.398000,0.00000627
84,25.00,50.00,0.012000,0.336000,0.00000806
85,25.00,50.00,0.012000,0.304000,0.00000553
86,25.00,50.00,0.012000,0.274000,0.00000670
87,25.00,50.00,0.012000,0.284000,0.00000844
88,25.00,50.00,0.012000,0.382000,0.00001954
89,25.00,50.00,0.012000,0.370000,0.00001744
90,25.00,50.00,0.012000,0.368000,0.00002373
91,25.00,50.00,0.012000,0.298000,0.00001433
92,25.00,50.00,0.012000,0.692000,0.00035378
93,25.00,50.00,0.012000,0.652000,0.00384597
94,25.00,50.00,0.012000,0.638000,0.00212090
